0,1,2,01,12,02,T01,T02,T21,phi1,psi0,psi1,psi2,psi’0,psi’1,psi’2,phi’1,phi’2,phi’3,phi’4,phi’5,phi’6,un_poly
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 2, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 2}']"
1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}']"
1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 2, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 2, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 2, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 0, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}', '{(0,): 1, (1,): 2, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 2, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 2}']"
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 1}']"
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 2, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 1, (2,): 1}', '{(0,): 2, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}']"
1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 0}']"
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}']"
1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}']"
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 1}', '{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}']"
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 2, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 2}']"
1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 1}', '{(0,): 0, (1,): 0, (2,): 1}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}']"
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 2}']"
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 2, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 2, (2,): 2}']"
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 2, (1,): 1, (2,): 1}', '{(0,): 2, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 1}', '{(0,): 1, (1,): 2, (2,): 1}', '{(0,): 1, (1,): 2, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 2, (2,): 2}', '{(0,): 0, (1,): 2, (2,): 1}']"
1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 1}']"
0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 2, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 0, (1,): 2, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}']"
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}']"
1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 0}']"
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 2, (2,): 0}', '{(0,): 0, (1,): 2, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 2, (1,): 0, (2,): 2}', '{(0,): 2, (1,): 0, (2,): 0}', '{(0,): 2, (1,): 2, (2,): 0}', '{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 2, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 1, (2,): 0}']"
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}']"
1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 2, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 2, (1,): 0, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 2, (1,): 1, (2,): 2}']"
1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}']"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 1}', '{(0,): 2, (1,): 2, (2,): 0}', '{(0,): 2, (1,): 1, (2,): 0}', '{(0,): 2, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 1, (2,): 1}', '{(0,): 2, (1,): 0, (2,): 1}', '{(0,): 2, (1,): 0, (2,): 2}', '{(0,): 2, (1,): 0, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 1}', '{(0,): 1, (1,): 2, (2,): 1}', '{(0,): 1, (1,): 2, (2,): 2}', '{(0,): 1, (1,): 2, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 2, (2,): 0}', '{(0,): 0, (1,): 2, (2,): 2}', '{(0,): 0, (1,): 2, (2,): 1}', '{(0,): 0, (1,): 0, (2,): 1}', '{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 0}']"
1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}']"
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 0}']"
0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}']"
1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 2, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 1}']"
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}']"
1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}']"
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 0}']"
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 0}']"
1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 0, (2,): 2}', '{(0,): 0, (1,): 0, (2,): 1}', '{(0,): 0, (1,): 0, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 0}', '{(0,): 1, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 1}']"
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 0}', '{(0,): 1, (1,): 0, (2,): 2}', '{(0,): 1, (1,): 0, (2,): 1}']"
1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 0, (1,): 2, (2,): 2}', '{(0,): 2, (1,): 2, (2,): 2}', '{(0,): 2, (1,): 1, (2,): 2}']"
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 1, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 1}', '{(0,): 0, (1,): 1, (2,): 2}']"
0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"['{(0,): 0, (1,): 1, (2,): 2}', '{(0,): 1, (1,): 1, (2,): 1}']"
1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['{(0,): 0, (1,): 1, (2,): 2}']"
